task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 20:21:25 ===,,,,,,,,,,,,,,,,,
17,BTC,4h,2025-06-21,15:57,103383.000000,103843.400000 +0.45%,103525.500000 +0.14%,LONG,True,+0.45%,+0.14%,100.00%,68.808,R-A030-260119-2025-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
13,BTC,4h,2025-05-31,23:57,104485.500000,104659.900000 +0.17%,104550.000000 +0.06%,SHORT,False,-0.17%,-0.06%,50.00%,67.658,R-A027-260119-2024-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
6,BTC,4h,2025-05-17,03:59,103944.900000,103411.500000 -0.51%,103466.300000 -0.46%,LONG,False,-0.51%,-0.46%,33.33%,63.34,R-A021-260119-2021-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
1,BTC,4h,2025-06-04,23:59,105205.900000,104867.600000 -0.32%,104643.500000 -0.53%,SHORT,True,+0.32%,+0.53%,50.00%,52.447,R-A028-260119-2025-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
2,BTC,4h,2025-05-24,15:57,107804.200000,109148.900000 +1.25%,108889.000000 +1.01%,SHORT,False,-1.25%,-1.01%,40.00%,51.645,R-A025-260119-2023-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
5,BTC,4h,2025-05-17,19:59,102942.200000,102888.100000 -0.05%,103109.000000 +0.16%,SHORT,False,+0.05%,-0.16%,33.33%,77.097,R-A022-260119-2021-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
7,BTC,4h,2025-06-07,15:59,104820.400000,105086.500000 +0.25%,105502.100000 +0.65%,SHORT,False,-0.25%,-0.65%,28.57%,108.637,R-A029-260119-2025-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
14,BTC,4h,2025-05-20,15:56,105070.500000,105160.600000 +0.09%,105291.600000 +0.21%,LONG,True,+0.09%,+0.21%,37.50%,66.895,R-A023-260119-2022-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
8,BTC,4h,2025-05-31,07:57,104000.500000,103632.600000 -0.35%,103703.300000 -0.29%,SHORT,True,+0.35%,+0.29%,44.44%,54.971,R-A026-260119-2024-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
19,BTC,4h,2025-05-21,15:55,106648.700000,106493.300000 -0.15%,108930.000000 +2.14%,SHORT,False,+0.15%,-2.14%,40.00%,67.688,R-A024-260119-2023-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
9,BTC,4h,2025-07-06,15:55,108008.100000,108029.900000 +0.02%,108865.100000 +0.79%,LONG,True,+0.02%,+0.79%,45.45%,68.471,R-A031-260119-2027-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
20,BTC,4h,2025-07-07,11:55,109352.500000,109013.800000 -0.31%,108599.000000 -0.69%,LONG,False,-0.31%,-0.69%,41.67%,85.951,R-A032-260119-2027-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
4,BTC,4h,2025-07-11,03:55,113210.300000,115993.000000 +2.46%,116855.900000 +3.22%,LONG,True,+2.46%,+3.22%,46.15%,64.865,R-A033-260119-2028-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
10,BTC,4h,2025-07-27,03:57,118243.200000,117908.000000 -0.28%,118199.100000 -0.04%,LONG,False,-0.28%,-0.04%,42.86%,59.545,R-A034-260119-2028-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
15,BTC,4h,2025-07-30,15:56,118139.800000,117574.700000 -0.48%,118003.100000 -0.12%,LONG,False,-0.48%,-0.12%,40.00%,56.105,R-A035-260119-2029-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
18,BTC,4h,2025-08-08,23:58,116161.000000,116383.900000 +0.19%,116620.800000 +0.40%,SHORT,False,-0.19%,-0.40%,37.50%,59.458,R-A036-260119-2029-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
3,BTC,4h,2025-08-15,19:58,119012.700000,117221.600000 -1.50%,116887.900000 -1.79%,SHORT,True,+1.50%,+1.79%,41.18%,65.56,R-A037-260119-2030-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
12,BTC,4h,2025-08-23,11:59,115557.100000,115788.800000 +0.20%,115266.200000 -0.25%,LONG,False,+0.20%,-0.25%,38.89%,60.964,R-A038-260119-2030-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
11,BTC,4h,2025-08-31,23:56,108745.200000,108877.900000 +0.12%,108199.700000 -0.50%,LONG,False,+0.12%,-0.50%,36.84%,56.556,R-A039-260119-2031-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
16,BTC,4h,2025-09-02,11:57,110330.000000,110199.900000 -0.12%,109708.700000 -0.56%,LONG,False,-0.12%,-0.56%,35.00%,70.661,R-A040-260119-2031-BTC-4H,original,to_end,40,13,,kimi-k2-0905,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
