task_id,asset,timeframe,end_date,end_time,kline_count,future_kline_count,ai_version,data_method
1,BTC,4h,2025-01-05,19:59,40,13,original,to_end
2,BTC,4h,2025-01-06,19:56,40,13,original,to_end
3,BTC,4h,2025-01-09,23:57,40,13,original,to_end
4,BTC,4h,2025-03-06,11:55,40,13,original,to_end
5,BTC,4h,2025-03-24,07:58,40,13,original,to_end
6,BTC,4h,2025-04-07,03:55,40,13,original,to_end
7,BTC,4h,2025-04-13,19:57,40,13,original,to_end
8,BTC,4h,2025-04-18,15:55,40,13,original,to_end
9,BTC,4h,2025-05-02,11:59,40,13,original,to_end
10,BTC,4h,2025-05-06,11:59,40,13,original,to_end
11,BTC,4h,2025-05-16,03:58,40,13,original,to_end
12,BTC,4h,2025-05-17,07:59,40,13,original,to_end
13,BTC,4h,2025-06-06,23:57,40,13,original,to_end
14,BTC,4h,2025-07-06,15:55,40,13,original,to_end
15,BTC,4h,2025-07-10,03:56,40,13,original,to_end
16,BTC,4h,2025-07-21,19:56,40,13,original,to_end
17,BTC,4h,2025-07-23,03:57,40,13,original,to_end
18,BTC,4h,2025-07-29,23:58,40,13,original,to_end
19,BTC,4h,2025-08-09,03:55,40,13,original,to_end
20,BTC,4h,2025-08-24,11:58,40,13,original,to_end
