task_id,asset,timeframe,end_date,end_time,kline_count,future_kline_count,ai_version,data_method
1,ETH,4h,2025-01-05,15:59,40,13,original,to_end
2,ETH,4h,2025-01-14,23:56,40,13,original,to_end
3,ETH,4h,2025-02-27,03:56,40,13,original,to_end
4,ETH,4h,2025-03-12,23:59,40,13,original,to_end
5,ETH,4h,2025-03-15,03:58,40,13,original,to_end
6,ETH,4h,2025-03-20,19:56,40,13,original,to_end
7,ETH,4h,2025-03-26,11:55,40,13,original,to_end
8,ETH,4h,2025-04-13,15:59,40,13,original,to_end
9,ETH,4h,2025-04-14,15:59,40,13,original,to_end
10,ETH,4h,2025-04-29,11:59,40,13,original,to_end
11,ETH,4h,2025-04-30,15:57,40,13,original,to_end
12,ETH,4h,2025-05-05,11:58,40,13,original,to_end
13,ETH,4h,2025-05-26,07:59,40,13,original,to_end
14,ETH,4h,2025-06-03,23:59,40,13,original,to_end
15,ETH,4h,2025-06-05,15:55,40,13,original,to_end
16,ETH,4h,2025-07-13,23:56,40,13,original,to_end
17,ETH,4h,2025-07-16,15:56,40,13,original,to_end
18,ETH,4h,2025-07-28,23:58,40,13,original,to_end
19,ETH,4h,2025-08-28,19:56,40,13,original,to_end
20,ETH,4h,2025-09-05,15:55,40,13,original,to_end
