task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 15:45:47 ===,,,,,,,,,,,,,,,,,
2,ETH,4h,2025-01-14,23:56,3201.880000,3214.030000 +0.38%,3225.400000 +0.73%,LONG,True,+0.38%,+0.73%,100.00%,54.147,R-A116-260119-1545-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
5,ETH,4h,2025-03-15,03:58,1934.930000,1911.550000 -1.21%,1920.500000 -0.75%,LONG,False,-1.21%,-0.75%,50.00%,47.151,R-A119-260119-1547-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
3,ETH,4h,2025-02-27,03:56,2304.750000,2336.490000 +1.38%,2332.000000 +1.18%,SHORT,False,-1.38%,-1.18%,33.33%,45.017,R-A117-260119-1546-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
4,ETH,4h,2025-03-12,23:59,1869.500000,1878.250000 +0.47%,1908.360000 +2.08%,SHORT,False,-0.47%,-2.08%,25.00%,46.232,R-A118-260119-1546-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
1,ETH,4h,2025-01-05,15:59,3631.300000,3614.000000 -0.48%,3629.490000 -0.05%,SHORT,True,+0.48%,+0.05%,40.00%,40.642,R-A115-260119-1545-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
6,ETH,4h,2025-03-20,19:56,1989.890000,1972.350000 -0.88%,1974.940000 -0.75%,SHORT,True,+0.88%,+0.75%,50.00%,50.917,R-A120-260119-1547-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
7,ETH,4h,2025-03-26,11:55,2047.300000,2069.340000 +1.08%,2068.590000 +1.04%,SHORT,False,-1.08%,-1.04%,42.86%,57.186,R-A121-260119-1547-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
8,ETH,4h,2025-04-13,15:59,1614.250000,1604.180000 -0.62%,1586.720000 -1.71%,LONG,False,-0.62%,-1.71%,37.50%,58.19,R-A122-260119-1548-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
9,ETH,4h,2025-04-14,15:59,1636.460000,1675.510000 +2.39%,1628.000000 -0.52%,LONG,False,+2.39%,-0.52%,33.33%,58.159,R-A123-260119-1548-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
10,ETH,4h,2025-04-29,11:59,1800.900000,1820.520000 +1.09%,1829.050000 +1.56%,SHORT,False,-1.09%,-1.56%,30.00%,48.513,R-A124-260119-1549-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
11,ETH,4h,2025-04-30,15:57,1795.410000,1814.720000 +1.08%,1763.700000 -1.77%,SHORT,True,-1.08%,+1.77%,36.36%,50.176,R-A125-260119-1549-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
12,ETH,4h,2025-05-05,11:58,1795.890000,1825.570000 +1.65%,1803.900000 +0.45%,SHORT,False,-1.65%,-0.45%,33.33%,49.652,R-A126-260119-1550-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
13,ETH,4h,2025-05-26,07:59,2549.260000,2558.990000 +0.38%,2579.860000 +1.20%,LONG,True,+0.38%,+1.20%,38.46%,46.638,R-A127-260119-1550-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
14,ETH,4h,2025-06-03,23:59,2621.700000,2624.000000 +0.09%,2592.200000 -1.13%,LONG,False,+0.09%,-1.13%,35.71%,52.554,R-A128-260119-1551-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
15,ETH,4h,2025-06-05,15:55,2604.810000,2606.810000 +0.08%,2588.310000 -0.63%,LONG,False,+0.08%,-0.63%,33.33%,61.391,R-A129-260119-1551-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
17,ETH,4h,2025-07-16,15:56,3165.840000,3150.780000 -0.48%,3244.120000 +2.47%,LONG,True,-0.48%,+2.47%,37.50%,41.602,R-A131-260119-1552-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
16,ETH,4h,2025-07-13,23:56,2988.630000,2988.100000 -0.02%,2970.600000 -0.60%,SHORT,True,+0.02%,+0.60%,41.18%,78.779,R-A130-260119-1551-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
18,ETH,4h,2025-07-28,23:58,3807.410000,3796.850000 -0.28%,3796.980000 -0.27%,LONG,False,-0.28%,-0.27%,38.89%,42.705,R-A132-260119-1553-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
19,ETH,4h,2025-08-28,19:56,4593.730000,4502.430000 -1.99%,4436.470000 -3.42%,LONG,False,-1.99%,-3.42%,36.84%,60.981,R-A133-260119-1553-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
20,ETH,4h,2025-09-05,15:55,4423.400000,4415.670000 -0.17%,4281.000000 -3.22%,SHORT,True,+0.17%,+3.22%,40.00%,43.726,R-A134-260119-1553-ETH-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
