task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 22:02:22 ===,,,,,,,,,,,,,,,,,
6,BTC,4h,2025-05-17,03:59,103944.900000,103411.500000 -0.51%,103466.300000 -0.46%,LONG,False,-0.51%,-0.46%,0.00%,60.477,R-A139-260119-2202-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
14,BTC,4h,2025-05-20,15:56,105070.500000,105160.600000 +0.09%,105291.600000 +0.21%,LONG,True,+0.09%,+0.21%,50.00%,70.792,R-A141-260119-2202-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
5,BTC,4h,2025-05-17,19:59,102942.200000,102888.100000 -0.05%,103109.000000 +0.16%,SHORT,False,+0.05%,-0.16%,33.33%,106.303,R-A140-260119-2202-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
2,BTC,4h,2025-05-24,15:57,107804.200000,109148.900000 +1.25%,108889.000000 +1.01%,SHORT,False,-1.25%,-1.01%,25.00%,48.862,R-A143-260119-2203-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
19,BTC,4h,2025-05-21,15:55,106648.700000,106493.300000 -0.15%,108930.000000 +2.14%,SHORT,False,+0.15%,-2.14%,20.00%,83.515,R-A142-260119-2203-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
13,BTC,4h,2025-05-31,23:57,104485.500000,104659.900000 +0.17%,104550.000000 +0.06%,LONG,True,+0.17%,+0.06%,33.33%,59.577,R-A145-260119-2204-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
8,BTC,4h,2025-05-31,07:57,104000.500000,103632.600000 -0.35%,103703.300000 -0.29%,SHORT,True,+0.35%,+0.29%,42.86%,100.614,R-A144-260119-2204-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
1,BTC,4h,2025-06-04,23:59,105205.900000,104867.600000 -0.32%,104643.500000 -0.53%,SHORT,True,+0.32%,+0.53%,50.00%,76.842,R-A146-260119-2204-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
7,BTC,4h,2025-06-07,15:59,104820.400000,105086.500000 +0.25%,105502.100000 +0.65%,LONG,True,+0.25%,+0.65%,55.56%,57.283,R-A147-260119-2205-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
9,BTC,4h,2025-07-06,15:55,108008.100000,108029.900000 +0.02%,108865.100000 +0.79%,SHORT,False,-0.02%,-0.79%,50.00%,67.211,R-A149-260119-2206-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
17,BTC,4h,2025-06-21,15:57,103383.000000,103843.400000 +0.45%,103525.500000 +0.14%,SHORT,False,-0.45%,-0.14%,45.45%,84.237,R-A148-260119-2205-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
20,BTC,4h,2025-07-07,11:55,109352.500000,109013.800000 -0.31%,108599.000000 -0.69%,LONG,False,-0.31%,-0.69%,41.67%,72.812,R-A150-260119-2206-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
4,BTC,4h,2025-07-11,03:55,113210.300000,115993.000000 +2.46%,116855.900000 +3.22%,LONG,True,+2.46%,+3.22%,46.15%,59.496,R-A151-260119-2207-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
10,BTC,4h,2025-07-27,03:57,118243.200000,117908.000000 -0.28%,118199.100000 -0.04%,LONG,False,-0.28%,-0.04%,42.86%,63.288,R-A152-260119-2207-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,google/gemini-3-pro-preview,普通回测,,,,,,,,,,,,,,
