序号,币种代码
1,0GUSDT
2,1INCHUSDT
3,2ZUSDT
4,AUSDT
5,AAVEUSDT
6,ACEUSDT
7,ACHUSDT
8,ACTUSDT
9,ADAUSD
10,ADAUSDT
11,AEROUSDT
12,AEVOUSDT
13,AGLDUSDT
14,AI16ZUSDT
15,AIXBTUSDT
16,ALGOUSDT
17,ANIMEUSDT
18,APEUSDT
19,API3USDT
20,APRUSDT
21,APTUSDT
22,ARUSDT
23,ARBUSDT
24,ARKMUSDT
25,ASTERUSDT
26,ATUSDT
27,ATHUSDT
28,ATOMUSDT
29,AUCTIONUSDT
30,AVAXUSD
31,AVAXUSDT
32,AVNTUSDT
33,AXSUSDT
34,BABYUSDT
35,BANDUSDT
36,BARDUSDT
37,BATUSDT
38,BCHUSD
39,BCHUSDT
40,BERAUSDT
41,BICOUSDT
42,BIGTIMEUSDT
43,BIOUSDT
44,BLUAIUSDT
45,BLURUSDT
46,BNBUSDT
47,BNTUSDT
48,BOMEUSDT
49,BONKUSDT
50,BRETTUSDT
51,BTCUSD
52,BTCUSDC
53,BTCUSDT
54,BTCUSD_UM
55,CATUSDT
56,CATIUSDT
57,CCUSDT
58,CELOUSDT
59,CETUSUSDT
60,CFXUSDT
61,CHZUSDT
62,COAIUSDT
63,COMPUSDT
64,COOKIEUSDT
65,COREUSDT
66,CROUSDT
67,CRVUSDT
68,CTCUSDT
69,CVCUSDT
70,CVXUSDT
71,DEGENUSDT
72,DOGEUSD
73,DOGEUSDT
74,DOODUSDT
75,DOTUSD
76,DOTUSDT
77,DYDXUSDT
78,EDENUSDT
79,EGLDUSDT
80,EIGENUSDT
81,ENAUSDT
82,ENJUSDT
83,ENSUSDT
84,ENSOUSDT
85,ETCUSD
86,ETCUSDT
87,ETHUSD
88,ETHUSDC
89,ETHUSDT
90,ETHUSD_UM
91,ETHFIUSDT
92,ETHWUSDT
93,FUSDT
94,FARTCOINUSDT
95,FILUSD
96,FILUSDT
97,FLOKIUSDT
98,FLOWUSDT
99,FXSUSDT
100,GALAUSDT
101,GASUSDT
102,GIGGLEUSDT
103,GLMUSDT
104,GMTUSDT
105,GMXUSDT
106,GOATUSDT
107,GPSUSDT
108,GRASSUSDT
109,GRTUSDT
110,HUSDT
111,HBARUSDT
112,HMSTRUSDT
113,HOMEUSDT
114,HUMAUSDT
115,HYPEUSDT
116,ICPUSDT
117,ICXUSDT
118,IMXUSDT
119,INITUSDT
120,INJUSDT
121,IOSTUSDT
122,IOTAUSDT
123,IPUSDT
124,JELLYJELLYUSDT
125,JOEUSDT
126,JTOUSDT
127,JUPUSDT
128,KAITOUSDT
129,KGENUSDT
130,KITEUSDT
131,KMNOUSDT
132,KSMUSDT
133,LAUSDT
134,LABUSDT
135,LAYERUSDT
136,LDOUSDT
137,LINEAUSDT
138,LINKUSD
139,LINKUSDT
140,LPTUSDT
141,LQTYUSDT
142,LRCUSDT
143,LTCUSD
144,LTCUSDT
145,LUNAUSDT
146,MAGICUSDT
147,MANAUSDT
148,MASKUSDT
149,MEUSDT
150,MEMEUSDT
151,MERLUSDT
152,METUSDT
153,METISUSDT
154,MEWUSDT
155,MINAUSDT
156,MMTUSDT
157,MOGUSDT
158,MONUSDT
159,MOODENGUSDT
160,MORPHOUSDT
161,MOVEUSDT
162,MUBARAKUSDT
163,NEARUSDT
164,NEIROUSDT
165,NEOUSDT
166,NEWTUSDT
167,NMRUSDT
168,NOTUSDT
169,OKBUSDT
170,OLUSDT
171,OMUSDT
172,ONDOUSDT
173,ONEUSDT
174,ONTUSDT
175,OPUSDT
176,ORDERUSDT
177,ORDIUSDT
178,PARTIUSDT
179,PENDLEUSDT
180,PENGUUSDT
181,PEOPLEUSDT
182,PEPEUSDT
183,PIUSDT
184,PIGGYUSDT
185,PLUMEUSDT
186,PNUTUSDT
187,POLUSDT
188,POPCATUSDT
189,PRCLUSDT
190,PROMPTUSDT
191,PROVEUSDT
192,PUMPUSDT
193,PYTHUSDT
194,QTUMUSDT
195,RAYUSDT
196,RECALLUSDT
197,RENDERUSDT
198,RESOLVUSDT
199,RSRUSDT
200,RVNUSDT
201,SUSDT
202,SAHARAUSDT
203,SANDUSDT
204,SATSUSDT
205,SHELLUSDT
206,SHIBUSDT
207,SIGNUSDT
208,SKYUSDT
209,SNXUSDT
210,SOLUSD
211,SOLUSDT
212,SOLUSD_UM
213,SOLVUSDT
214,SONICUSDT
215,SOONUSDT
216,SOPHUSDT
217,SPKUSDT
218,SPXUSDT
219,SSVUSDT
220,STRKUSDT
221,STXUSDT
222,SUIUSD
223,SUIUSDT
224,SUSHIUSDT
225,SYRUPUSDT
226,TAOUSDT
227,THETAUSDT
228,TIAUSDT
229,TONUSDT
230,TRBUSDT
231,TREEUSDT
232,TRUMPUSDT
233,TRUSTUSDT
234,TRXUSDT
235,TURBOUSDT
236,TURTLEUSDT
237,UMAUSDT
238,UNIUSD
239,UNIUSDT
240,USDCUSDT
241,USELESSUSDT
242,VANAUSDT
243,VIRTUALUSDT
244,WUSDT
245,WALUSDT
246,WCTUSDT
247,WIFUSDT
248,WLDUSDT
249,WLFIUSDT
250,WOOUSDT
251,XANUSDT
252,XAUTUSDT
253,XLMUSDT
254,XPLUSDT
255,XRPUSD
256,XRPUSDT
257,XTZUSDT
258,YBUSDT
259,YFIUSDT
260,YGGUSDT
261,ZBTUSDT
262,ZENUSDT
263,ZENTUSDT
264,ZETAUSDT
265,ZILUSDT
266,ZKUSDT
267,ZORAUSDT
268,ZROUSDT
269,ZRXUSDT
